Gene	Gistic(Q-value)	Cytoband	CNA	#	Freq	Is Cancer Gene (source: OncoKB)
CDKN2B		9p21.3	DEL	56	11.0%	Yes
CDKN2B-AS1		9p21.3	DEL	56	11.0%	No
CDKN2A		9p21.3	DEL	55	10.8%	Yes
CDKN2A-DT		9p21.3	DEL	51	10.0%	No
MTAP		9p21.3	DEL	45	8.8%	Yes
EGFR		7p11.2	AMP	39	7.6%	Yes
EGFR-AS1		7p11.2	AMP	38	7.4%	No
ELDR		7p11.2	AMP	37	7.2%	No
LOC100996654		7p11.2	AMP	34	6.7%	No
SEC61G		7p11.2	AMP	30	5.9%	No
DMRTA1		9p21.3	DEL	30	5.9%	No
MIR31HG		9p21.3	DEL	30	5.9%	No
LINC01239		9p21.3	DEL	29	5.7%	No
IFNA1		9p21.3	DEL	28	5.5%	No
IFNE		9p21.3	DEL	28	5.5%	No
IFNA8		9p21.3	DEL	27	5.3%	No
IFNA2		9p21.3	DEL	26	5.1%	No
IFNA5		9p21.3	DEL	26	5.1%	No
IFNA6		9p21.3	DEL	26	5.1%	No
IFNA13		9p21.3	DEL	26	5.1%	No
KLHL9		9p21.3	DEL	26	5.1%	No
PARP11		12p13.32	AMP	26	5.1%	No
CCND2		12p13.32	AMP	25	4.9%	Yes
CD4		12p13.31	AMP	25	4.9%	No
CD27		12p13.31	AMP	25	4.9%	No
CHD4		12p13.31	AMP	25	4.9%	Yes
FGF6		12p13.32	AMP	25	4.9%	Yes
GAPDH		12p13.31	AMP	25	4.9%	No
GNB3		12p13.31	AMP	25	4.9%	No
LAG3		12p13.31	AMP	25	4.9%	No
NOP2		12p13.31	AMP	25	4.9%	No
PTMS		12p13.31	AMP	25	4.9%	No
VAMP1		12p13.31	AMP	25	4.9%	No
TPI1		12p13.31	AMP	25	4.9%	No
FGF23		12p13.32	AMP	25	4.9%	Yes
USP5		12p13.31	AMP	25	4.9%	No
MLF2		12p13.31	AMP	25	4.9%	No
NCAPD2		12p13.31	AMP	25	4.9%	No
P3H3		12p13.31	AMP	25	4.9%	No
RAD51AP1		12p13.32	AMP	25	4.9%	No
IFFO1		12p13.31	AMP	25	4.9%	No
GPR162		12p13.31	AMP	25	4.9%	No
COPS7A		12p13.31	AMP	25	4.9%	No
ING4		12p13.31	AMP	25	4.9%	No
MRPL51		12p13.31	AMP	25	4.9%	No
TAPBPL		12p13.31	AMP	25	4.9%	No
C12ORF4		12p13.32	AMP	25	4.9%	No
TIGAR		12p13.32	AMP	25	4.9%	No
LPAR5		12p13.31	AMP	25	4.9%	No
CDCA3		12p13.31	AMP	25	4.9%	No
ACRBP		12p13.31	AMP	25	4.9%	No
SPSB2		12p13.31	AMP	25	4.9%	No
ZNF384		12p13.31	AMP	25	4.9%	Yes
PIANP		12p13.31	AMP	25	4.9%	No
SCARNA11		12p13.31	AMP	25	4.9%	No
CD27-AS1		12p13.31	AMP	25	4.9%	No
SCARNA10		12p13.31	AMP	25	4.9%	No
CD9		12p13.31	AMP	24	4.7%	No
ENO2		12p13.31	AMP	24	4.7%	No
IFNA22P		9p21.3	DEL	24	4.7%	No
LTBR		12p13.31	AMP	24	4.7%	No
NDUFA9		12p13.32	AMP	24	4.7%	No
SCNN1A		12p13.31	AMP	24	4.7%	No
TNFRSF1A		12p13.31	AMP	24	4.7%	No
VWF		12p13.31	AMP	24	4.7%	No
DYRK4		12p13.32	AMP	24	4.7%	No
LRRC23		12p13.31	AMP	24	4.7%	No
AKAP3		12p13.32	AMP	24	4.7%	No
PLEKHG6		12p13.31	AMP	24	4.7%	No
GSDMC		8q24.21	AMP	24	4.7%	No
PRMT8		12p13.32	AMP	24	4.7%	No
ANO2		12p13.31	AMP	24	4.7%	No
CRACR2A		12p13.32	AMP	24	4.7%	No
DSTNP2		12p13.31	AMP	24	4.7%	No
RPL13P5		12p13.31	AMP	24	4.7%	No
BOK		2q37.3	DEL	23	4.5%	No
ATN1		12p13.31	AMP	23	4.5%	No
DTYMK		2q37.3	DEL	23	4.5%	No
KCNA1		12p13.32	AMP	23	4.5%	No
KCNA5		12p13.32	AMP	23	4.5%	No
KCNA6		12p13.32	AMP	23	4.5%	No
PDCD1		2q37.3	DEL	23	4.5%	Yes
PTPN6		12p13.31	AMP	23	4.5%	Yes
