Gene	Gistic(Q-value)	Cytoband	CNA	#	Freq	Is Cancer Gene (source: OncoKB)
CDKN2B	0	9p21.3	DEL	65	12.7%	Yes
C11ORF58	0	11p15.2	DEL	65	12.7%	No
SOX6		11p15.2	DEL	65	12.7%	No
CDKN2A	0	9p21.3	DEL	64	12.5%	Yes
CDKN2A-DT	0	9p21.3	DEL	60	11.7%	No
MTAP		9p21.3	DEL	58	11.3%	Yes
RN7SL151P		9p21.3	DEL	39	7.6%	No
EGFR	0	7p11.2	AMP	38	7.4%	Yes
MIR-4662B/4662B			AMP	37	7.2%	No
MIR-3686/3686			AMP	37	7.2%	No
SQLE	6.795e-16	8q24.13	AMP	37	7.2%	No
MTSS1	6.795e-16	8q24.13	AMP	37	7.2%	No
WASHC5	6.795e-16	8q24.13	AMP	37	7.2%	No
GSDMC	6.795e-16	8q24.21	AMP	37	7.2%	No
DMRTA1		9p21.3	DEL	37	7.2%	No
DEPTOR	6.795e-16	8q24.12	AMP	37	7.2%	No
CCDC26	6.795e-16	8q24.21	AMP	37	7.2%	No
ZNF572	6.795e-16	8q24.13	AMP	37	7.2%	No
LINC00964	6.795e-16	8q24.13	AMP	37	7.2%	No
MIR31HG		9p21.3	DEL	37	7.2%	No
MIR-1208/1208			AMP	36	7.0%	No
MIR-1205/1205			AMP	36	7.0%	No
EXT1	6.795e-16	8q24.11	AMP	36	7.0%	Yes
MYC	6.795e-16	8q24.21	AMP	36	7.0%	Yes
NDUFB9	6.795e-16	8q24.13	AMP	36	7.0%	No
TNFRSF11B	6.795e-16	8q24.12	AMP	36	7.0%	No
POU5F1B	6.795e-16	8q24.21	AMP	36	7.0%	No
PVT1	6.795e-16	8q24.21	AMP	36	7.0%	No
TRIB1	6.795e-16	8q24.13	AMP	36	7.0%	No
COLEC10	6.795e-16	8q24.12	AMP	36	7.0%	No
RNF139	6.795e-16	8q24.13	AMP	36	7.0%	No
FAM49B	6.795e-16	8q24.21	AMP	36	7.0%	No
TRMT12	6.795e-16	8q24.13	AMP	36	7.0%	No
TATDN1	6.795e-16	8q24.13	AMP	36	7.0%	No
MED30	6.795e-16	8q24.11	AMP	36	7.0%	No
MAL2	6.795e-16	8q24.12	AMP	36	7.0%	No
TMEM65	6.795e-16	8q24.13	AMP	36	7.0%	No
LRATD2	6.795e-16	8q24.21	AMP	36	7.0%	No
SLC30A8	6.795e-16	8q24.11	AMP	36	7.0%	No
NSMCE2	6.795e-16	8q24.13	AMP	36	7.0%	No
SAMD12	6.795e-16	8q24.11-q24.12	AMP	36	7.0%	No
TMEM75	6.795e-16	8q24.21	AMP	36	7.0%	No
CASC8	6.795e-16	8q24.21	AMP	36	7.0%	No
LINC00977	6.795e-16	8q24.21	AMP	36	7.0%	No
LINC00861	6.795e-16	8q24.13	AMP	36	7.0%	No
CCAT1	6.795e-16	8q24.21	AMP	36	7.0%	No
PCAT1	6.795e-16	8q24.21	AMP	36	7.0%	No
RNA5SP277	6.795e-16	8q24.12	AMP	36	7.0%	No
PCAT2	6.795e-16	8q24.21	AMP	36	7.0%	No
RN7SKP206	6.795e-16	8q24.21	AMP	36	7.0%	No
RN7SL329P	6.795e-16	8q24.13	AMP	36	7.0%	No
RN7SL396P	6.795e-16	8q24.12	AMP	36	7.0%	No
RN7SL826P	6.795e-16	8q24.11	AMP	36	7.0%	No
RN7SKP226	6.795e-16	8q24.21	AMP	36	7.0%	No
MIR-3610/3610			AMP	35	6.8%	No
