Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
IDH1		395	395	77.1%	Yes
TP53		319	249	48.6%	Yes
ATRX		218	194	37.9%	Yes
CIC		130	108	21.1%	Yes
TTN		115	63	12.3%	No
FUBP1		51	48	9.4%	Yes
PIK3CA		46	42	8.2%	Yes
NOTCH1		49	38	7.4%	Yes
MUC16		54	36	7.0%	No
EGFR		42	35	6.8%	Yes
NF1		47	31	6.1%	Yes
SMARCA4		26	25	4.9%	Yes
PTEN		24	24	4.7%	Yes
FLG		25	23	4.5%	No
PIK3R1		23	22	4.3%	Yes
IDH2		21	21	4.1%	Yes
RYR2		24	21	4.1%	No
ZBTB20		21	20	3.9%	No
ARID1A		22	19	3.7%	Yes
NIPBL		24	18	3.5%	No
PCLO		21	18	3.5%	Yes
OBSCN		24	18	3.5%	No
HMCN1		24	17	3.3%	No
MUC17		23	16	3.1%	No
APOB		16	15	2.9%	No
LRP2		20	15	2.9%	No
BCOR		16	15	2.9%	Yes
TCF12		15	14	2.7%	Yes
ADGRV1		20	14	2.7%	No
FAT2		23	13	2.5%	No
ZNF292		17	13	2.5%	No
COL6A3		15	12	2.3%	No
DNMT3A		12	12	2.3%	Yes
HSPG2		15	12	2.3%	No
MYH2		13	12	2.3%	No
MYH8		12	12	2.3%	No
PKHD1		13	12	2.3%	No
SYNE1		26	12	2.3%	No
FRAS1		12	12	2.3%	No
CSMD3		15	12	2.3%	No
DNAH5		17	11	2.1%	No
DNAH9		14	11	2.1%	No
KMT2D		17	11	2.1%	Yes
KAT6B		15	11	2.1%	Yes
NPAP1		12	11	2.1%	No
ANKRD30A		12	11	2.1%	No
ABCA13		14	11	2.1%	No
ARID2		20	11	2.1%	Yes
ACAN		12	10	2.0%	No
FLNC		13	10	2.0%	No
LAMA3		10	10	2.0%	No
MYH1		12	10	2.0%	No
NEB		18	10	2.0%	No
ROS1		10	10	2.0%	Yes
ZAN		10	10	2.0%	No
SETD2		12	10	2.0%	Yes
MYO15A		12	10	2.0%	No
LRP1B		15	10	2.0%	Yes
DNAH7		12	10	2.0%	No
CDH23		11	10	2.0%	No
DOCK5		13	10	2.0%	No
EPPK1		15	10	2.0%	No
SPATA31E1		11	10	2.0%	No
ITIH6		11	10	2.0%	No
MUC5B		17	10	2.0%	No
C3		13	9	1.8%	No
