Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
IDH1	1.290e-12	221	221	77.3%	Yes
TP53	1.290e-12	190	146	51.0%	Yes
ATRX	1.290e-12	130	118	41.3%	Yes
CIC	1.290e-12	67	56	19.6%	Yes
NOTCH1	1.290e-12	38	31	10.8%	Yes
TTN		30	26	9.1%	No
FUBP1	3.200e-11	25	25	8.7%	Yes
PIK3CA	1.290e-12	27	24	8.4%	Yes
NF1	9.470e-11	27	17	5.9%	Yes
EGFR	0	18	15	5.2%	Yes
MUC16		17	15	5.2%	No
PIK3R1	0	15	14	4.9%	Yes
PTEN	1.180e-10	13	13	4.5%	Yes
SMARCA4	2.100e-7	13	13	4.5%	Yes
IDH2	1.290e-12	12	12	4.2%	Yes
ARID1A	5.510e-5	13	12	4.2%	Yes
ZBTB20	1.290e-12	10	10	3.5%	No
APOB		9	9	3.1%	No
FLG		9	9	3.1%	No
RYR2	5.370e-2	9	9	3.1%	No
BCOR		10	9	3.1%	Yes
FAT2		8	8	2.8%	No
PKHD1		9	8	2.8%	No
TCF12	2.400e-9	9	8	2.8%	Yes
OBSCN		8	8	2.8%	No
LRP2		8	7	2.4%	No
MYH2	4.230e-2	7	7	2.4%	No
MUC17		7	7	2.4%	No
C3		6	6	2.1%	No
COL6A3		6	6	2.1%	No
DNAH5		6	6	2.1%	No
AFF2	4.230e-2	6	6	2.1%	No
LAMA3		6	6	2.1%	No
MUC2		6	6	2.1%	No
MYH4	6.100e-3	6	6	2.1%	No
MYH8	3.870e-3	6	6	2.1%	No
NEB		6	6	2.1%	No
SLC6A3	1.320e-2	7	6	2.1%	No
NPAP1		6	6	2.1%	No
NIPBL	2.520e-3	6	6	2.1%	No
VPS13C		6	6	2.1%	No
EPPK1		6	6	2.1%	No
HMCN1		6	6	2.1%	No
ADGRV1		6	6	2.1%	No
CELSR3		5	5	1.7%	No
HSPG2		5	5	1.7%	No
KEL	9.890e-2	5	5	1.7%	Yes
PTPN11		5	5	1.7%	Yes
TPTE		5	5	1.7%	No
ALMS1		5	5	1.7%	No
KMT2D		6	5	1.7%	Yes
OGT		5	5	1.7%	No
DNAH11		5	5	1.7%	No
OTOF		5	5	1.7%	No
CELSR1		5	5	1.7%	No
WDFY3		5	5	1.7%	No
ZNF292		5	5	1.7%	No
EXPH5		6	5	1.7%	No
SYNE1		5	5	1.7%	No
KAT6B		5	5	1.7%	Yes
PCLO		5	5	1.7%	Yes
ANKRD11		5	5	1.7%	Yes
MYO15A		5	5	1.7%	No
LRP1B		5	5	1.7%	Yes
